timestamp;container;name;cpu_percent;mem_percent;pids
1757372431,1ab98a3bb7da,docker-mongo-1,0.03,0.91,35
1757372435,348064b82d19,docker-django-1,0.06,1.48,9
1757372435,1ab98a3bb7da,docker-mongo-1,0.03,0.91,35
1757372438,348064b82d19,docker-django-1,0.06,1.48,9
1757372438,1ab98a3bb7da,docker-mongo-1,0.03,0.91,35
1757372442,348064b82d19,docker-django-1,0.08,1.48,9
1757372442,1ab98a3bb7da,docker-mongo-1,0.04,0.91,35
1757372445,348064b82d19,docker-django-1,0.06,1.48,9
1757372445,1ab98a3bb7da,docker-mongo-1,0.03,0.9,35
1757372448,348064b82d19,docker-django-1,0.07,1.48,9
1757372448,1ab98a3bb7da,docker-mongo-1,0.03,0.9,35
1757372451,348064b82d19,docker-django-1,0.07,1.49,9
1757372451,1ab98a3bb7da,docker-mongo-1,0.04,0.9,35
